Codigo ,Proceso,Responsable,Tipo de hallazgo,Fuente,Descripcion,Fecha reporte,Fecha cierre ultima acción,AccionesPlanteadas
GPT,Gestión Planeación Técnica,,C,Interna,"Requisito 7. Apoyo. 7.1 Recursos. 7.1.3 Infraestructura La organización debe determinar, proporcionar y mantener la infraestructura necesaria para la operación de sus procesos y lograr la conformidad de los productos y servicios: b) equipos y servicios asociados.
 Al solicitar evidencia del mantenimiento, verificación y/o calibración de los equipos (estaciones PENTAX V325N y Pentax W-825) al responsable de la actividad levantamiento topográfico, el suministra el registro Hoja de vida de equipos código LECA R 044 Hoja de Vida del Equipamiento V 03 en el cual se evidencia el diligenciamiento de la primera página, la cual consiste en la descripción de características de los equipos y en donde se establece que acciones requieren los mismos para garantizar su correcto funcionamiento; para estos equipos se tiene establecido una verificación bimensual, un",2022-02-21,2022-12-31,4
GPT,Gestión Planeación Técnica,,C,Interna,"mantenimiento preventivo mensual y una calibración anual y al indagar por el cumplimiento de esto, se evidencia que no se ha realizado nada a los equipos desde el año 2016, igualmente no se tiene en las carpetas de los equipos la página 2 del formato Hoja de Vida del Equipamiento LECA R 044, que es la parte en donde se debe registrar todas las acciones de intervención en los equipos. 
 Así mismo, se evidencia incumplimiento al Plan de verificación, mantenimiento y calibración de equipos GPT PP 003 V04, actualizado el 21/03/15, donde se establecen acciones de mantenimiento mensuales, de verificación trimestrales.
 Lo anterior no permite garantizar el correcto funcionamiento de los equipos.",2022-02-21,2022-12-31,4
GPT,Gestión Planeación Técnica,,C,Interna,"Requisito 8. Operación. 8.1 Planificación y Control operacional. La organización debe planificar, implementar, y controlar los procesos necesarios para cumplir los requisitos para la provisión de productos y servicios.
 Al solicitar la evidencia de la actividad Actualizar y socializar el Plan Maestro de Acueducto y Alcantarillado (PMAA), que se encuentra establecida en la caracterización del proceso GPT-D-001 V19, se informa que este documento no ha sido actualizado desde el año 2015 y más aun teniendo en cuenta que la empresa cuenta con un Plan de Saneamiento y Manejo de Vertimientos PSMV a un horizonte de 30 años, igual que un marco tarifario por 10 años y un nuevo plan de desarrollo municipal de 4 años y por lo tanto el documento precisa de actualización.
 Es de resaltar que le empresa viene gestionando y ejecutando importantes obras de alcantarillado en cumplimiento al PSMV y en el compromiso de descontaminación de las fuentes hídricas receptoras de vertimientos.",2022-02-21,2023-12-31,4
GPT,Gestión Planeación Técnica,,C,Interna,"Numeral 6.1.1 Al planificar el sistema de gestión de la calidad, la organización debe considerar las cuestiones referidas en el apartado 4.1 (comprensión de la organización y de su contexto) y los requisitos referidos en el apartado 4.2 ( Comprensión de las necesidades y expectativas de las partes interesadas), y determinar los riesgos y oportunidades que es necesario abordar con el fin de: a) asegurar que el sistema de gestión de la calidad pueda lograr sus resultados previstos; b) aumentar los efectos deseables; c) prevenir o reducir efectos no deseados; d) lograr la mejora.",2022-02-21,2022-10-31,4
GPT,Gestión Planeación Técnica,,C,Interna,"No se logró evidenciar que los riesgos identificados en el contexto y partes interesadas del proceso son abordados como riesgos. Evidencias: Mapa de Riesgos y Controles Institucional AM-R-025 - Proceso Gestión Planeación Técnica, fecha de actualización del 2021/01/02, Evaluación del Contexto GG-R-009 del proceso Gestión Planeación Técnica, Determinación, seguimiento y evaluación de los requisitos, necesidades y expectativas de las partes interesadas GG-R-0014 del proceso Gestión Planeación Técnica.",2022-02-21,2022-10-31,4
GPT,Gestión Planeación Técnica,,C,Interna,"Numeral 9.1.1 La organización debe determinar los métodos de seguimiento, medición, análisis y evaluación necesarios para asegurar resultados válidos…. La organización debe conservar la información documentada apropiada como evidencia de los resultados.
 No se pudo realizar la trazabilidad de los datos fuente utilizados en el calculo de los indicadores del 1 trimestre de 2021: levantamiento topográfico y Disponibilidad de servicios públicos de acueducto y alcantarillado.",2022-02-21,2022-12-31,4
DJSG,Dirección Jurídica y Secretaria General,,C,Interna,"9,1,1 b NTC-ISO-9001:2015 Los metodos de seguimiento, medición y análisis y evaluación necesarios para asegurar resultados válidos: se evidencio en el indiccador de Conceptos Juridicos, para los meses de marzo-abril y julio-agosto de 2022 que la información reportada como conceptos juridicos emitidos no coincide con la fuente de esos datos, de igual manera, el denominador ""cantidad de conceptos juridicos solicitados"" se determina en función de los conceptos juridicos emitidos.",2023-01-05,2023-07-04,4
DJSG,Dirección Jurídica y Secretaria General,,C,Interna,"7,5,3,2 c) Control de Cambio. Al revisar el Listado Maestro de Documentos de AM-R-003 DJDG, no se evidencia la actualización de la normatividad aplicable a la dección y algunos links no correspónden con la norma a consultar.",2023-01-05,2023-04-17,4
DC,Dirección Comercial,,C,Interna,"7.5.3 Control de la información documentada. En la auditoria se observó que el registro Solicitud de Acueducto, Alcantarillado y Aseo. DC-R-009 está publicado en la página web en el link de tramites y servicios la versión 01, la versión vigente es la 02.",2022-02-21,2022-12-31,6
DC,Dirección Comercial,,C,Interna,"8,4,2 d) Tipo y alcance del control. Se evidencia que en las ordenes de suspensión el contratista de FRC con su APP toma la fotos como evidencia de loa suspensiones del servicio y es cargada a la matricula correspondiente en el aplicativo ARQ de EPA ESP. las fotos tomadas no son coherentes ni corresponden con la actividad realizada a la causal de suspensión.",2022-02-21,2022-12-31,5
DC,Dirección Comercial,,C,Interna,"NC.1 6,1,2 No se evidencia la Socialización de los procedimientos: DC-P-014,DC-P-015,DC-P-016 creados en el año 2022, dicha actividad de socialización se encuentra planteada en el Mapa de Riesgos AM-R-025 de la Dirección Comercial como una acción para abordar el riesgo #2.",2022-12-10,2023-07-20,3
DC,Dirección Comercial,,C,Externa,"NC. 2-7,5 Los registros C-R-004 y C-R-015 se encuentran publicados en le SGI pero ya no se usan en el proceso: el registro C-R-013 no tiene nombre ni firma de quien: elabora, revisa y/o aprueba y se encontraron errores en el diligenciamiento del mismo en la carpeta del año 2022. De forma reiterativa se observan registros con tachones e información que no corresponde al cuerpo del formato.",2022-12-20,2023-12-31,3
DC,Dirección Comercial,,C,Externa,"NC.3-8,4 Se evidencia el uso del registro CGCP-R-014 V2 que no existe en los documentos del SGI, el uso del mismo se da ya que es un reporte que arroja el aplicativo de software del sistema comercial de EPA.ESP.",2022-12-20,2023-07-20,3
GDAP,Gestión Distribución de Agua Potable,,C,Externa,No presentan acciones abiertas,2022-02-21,2022-10-31,1
DF,Dirección de Financiamiento,,C,Interna,No presentan acciones abiertas,2022-02-21,2022-12-31,1
DTIC,Dirección de Tecnologías de la Información y las comunicaciones,,C,Interna,No presentan acciones abiertas,2023-01-05,2023-07-04,1
DCG,Dirección Control de Gestión,,C,Interna,"En el listado maestro de documentos AM-R-003 del proceso Dirección Control Gestión se encuentra desactualizado los documentos externos incumpliendo el numeral 8.1a, así como el numeral 7,5,2 c",2022-08-12,2022-12-31,3
GR,Gestión de Recursos,,C,Interna,"NC.1 Contra el requisito NTC ISO 9001:2015 Numerales 7,5,3. c)Control de cambios (por ejemplo, control de Versión); para la información documentada de origen externo.
 
 Se evidencia que en el listado Maestro de Documentos código (AM-R-003 GR), Versión 14 con Fecha de Emisión del 14 de diciembre de 2016 y de actualización 13 de septiembre de 2022, se encontró normatividad que ya no aplica al proceso como (decreto 132, 232 y 457 de 2020)",2022-11-08,2022-12-31,3
GTH,Gestión Talento Humano,,C,Interna Contratada,"Se evidencia elemento de botiquín de la oficina de Gestión Recursos (espuma yodopovidona) vencido, el cual ya se encontraba identificado como vencido previamente en el registro GTH-R-010, lo cual contraviene con el numeral 8,1 d, de la norma NTC-ISO-9001:2015",2022-11-03,2022-12-31,6
GTH,Gestión Talento Humano,,C,Interna,Se evidencia registro GTH-R-010 archivados diligenciados a lápiz y sin firmas.,2022-11-03,2023-12-31,4
DPC,Dirección de Planeación Corporativa,,C,Interna,No se evidencian los controles para el tratamiento de las aguas proveniente del lavado de vehículos en los patios de ASEO.,2019-11-21,2020-12-30,3
